Primary ID,%5min,%10min,%15min,%30min,%60min,%120min,%180min,%240min
Simvastatine_N7_1,2.0,4.050010507049617,11.284228115740753,23.567131437960107,53.27863385358898,94.8475337437664,99.79659420491129,100.0
Simvastatine_N7_2,1.780083150619291,4.018728552249894,11.197069647077043,23.3851008138128,52.8671139789867,94.11493903610496,99.02577335305166,100.0
Simvastatine_N8_1,0.8908290683984107,3.8343416674626862,6.386405382643249,13.612806031952774,23.9018644884697,45.6265091249362,66.29309828102474,79.45484353119423
Simvastatine_N8_2,1.5903319459426273,3.95880104418369,6.845078697258985,14.623846083236064,26.529096116355923,50.822569889899555,71.92048757778686,82.20764049820531
Simvastatine_N9_1,1.727285255771025,4.700014321204845,7.735702331559782,15.07007023214222,34.63141279044651,65.36727531250413,81.40643946240174,86.02255902560675
Simvastatine_N9_2,3.4754016567571053,5.698150102608175,9.0921496720181,14.606911910241545,28.60883791294896,57.29691625108473,75.21442975262448,80.83316990727253
Simvastatine_N10_1,2.2322361959260206,7.041179910800629,11.80863837888442,25.30291216504222,51.27194349690715,84.82456121543828,90.51858661435448,91.28839649250678
Simvastatine_N10_2,1.4604184787160694,4.763088844841758,8.168206195184302,17.52100205849158,37.41113009482072,69.75448195705836,87.38290133551186,90.56316751270312
Simvastatine_N11_1,1.8629492956246403,5.07616782330569,9.253638087350978,21.087549856264943,45.88755548779706,79.41139694760669,91.68759876100306,94.94905464191592
Simvastatine_N11_2,1.3783708244906328,5.375809740892187,7.662747021634413,15.445683650054535,34.96214737863796,66.21733842150373,82.64192448726851,90.33306442815427
Carvedilol_N1_1,5.637996837744543,10.728069629690015,16.039328675049287,31.3041836596778,64.06935508438761,94.31244542749444,97.65147825788472,98.68918718878922
Carvedilol_N1_2,5.178275651643275,10.777613111324207,18.99703600383576,40.992066951442766,84.88100427164156,93.70608490977249,93.70608490977249,95.86893034609017
Carvedilol_N2_1,2.694115073002354,6.799238898885235,10.584198443617886,19.50879478898275,38.10798557478266,65.10043334432751,93.77241694233724,95.74626443256494
Carvedilol_N2_2,3.5961498875273117,6.951867531616497,12.024987868161013,27.08369329278088,48.0415312599118,76.89009366799299,76.89009366799299,98.23138317293952
Carvedilol_N4_1,8.094081423867133,11.284783244740913,14.24554403341312,27.43720803281618,45.049198740920666,76.50752757426939,98.63135013283954,99.38577664498165
Carvedilol_N4_2,6.672216719432677,11.157429069717978,16.724699152705448,31.838667663245488,56.88034369815816,84.35715602332644,97.21849180354434,97.82514903107015
Carvedilol_N5_1,4.168955743435415,9.18757086684569,13.528983898404428,26.730474512784525,48.86544172024052,75.93569895574883,91.79049289022208,97.16887795533992
Carvedilol_N5_2,6.16533078191836,12.50116380553434,22.34639091603417,37.332610701560895,58.657565139678105,85.66340447875264,96.92159874205552,97.95281244803876
Carvedilol_N6_1,4.66880490865988,10.417793892065264,16.407753451401476,27.568028633849305,47.148468367963545,80.87672570073907,82.4606981824943,82.87124064519126
Carvedilol_N6_2,3.798976178239242,8.12002167132687,12.247871367316002,23.729175209337964,42.529515122615535,75.91142958395875,80.88915524499917,80.88915524499917
Carvedilol_N7_1,9.296187930554732,15.077320674216043,18.765440947072857,31.35239508587906,53.0392842989283,95.9044073627495,100.0,100.0
Carvedilol_N7_2,5.683559077439077,22.13430507380441,24.993626461528383,28.66805909965875,59.93792524365627,93.35935764087856,96.14710828466444,100.0
Carvedilol_N8_1,6.879121384095764,13.892960809993184,21.359128123827244,41.06679227075339,79.99042651777987,90.97840988289714,91.43747750231675,92.1031025741179
Carvedilol_N8_2,7.532939022840964,16.847082048356892,23.65486378326053,41.61391051476646,65.10748612992806,89.9069274902396,90.95160587594822,90.95160587594822
Carvedilol_N10_1,5.934073417134555,12.934712762203088,17.4204642304539,37.8968006264825,60.067158254387984,94.36142776616724,99.29561251473385,99.29561251473385
Carvedilol_N10_2,7.453273744915938,13.726495225339152,21.190573680713555,37.874430158582186,88.11000908188619,92.38594030463354,98.66334531624037,99.45844682945985
Carvedilol_N11_1,3.968656061066639,8.285055389625256,12.118675281103087,25.87688400587376,49.32519443868111,79.86320534451046,93.94684118566984,95.5127246291498
Carvedilol_N11_2,3.816080560054076,14.075244710797078,19.303179024263468,30.87045881610663,46.774430805718545,71.08956029585671,86.32540944307725,87.87372821328115
Aciclovir_N1_1,6.894944114459792,12.589112168444434,18.05614795407149,33.55596615789367,61.05097162340047,94.4181990941522,97.42726872350956,98.18781867172694
Aciclovir_N1_2,7.604476525558916,13.418852599283875,18.48445102155277,29.73267495486746,48.95844726654889,78.79324974724757,95.54855765941858,96.59390992487504
Aciclovir_N2_1,5.753710990854605,9.68702917779568,13.532937662026043,23.303277591278817,41.10985597557935,75.9932316429235,95.2776471542938,96.61669384650854
Aciclovir_N2_2,5.240117204405735,8.469624943586595,11.979958905096613,20.219314593210804,38.66267252285138,80.62525266841622,80.62525266841622,98.09216198051011
Aciclovir_N3_1,6.155243236900918,12.757520624948215,20.56141430803157,35.086616233493416,64.4011506956183,96.92076440592488,97.62769543808248,98.32455974069649
Aciclovir_N3_2,8.64427814943101,13.86776993808707,20.526471756291254,37.48408012573099,70.71506542175936,95.50619869440943,96.10966855433404,97.18977120978796
Aciclovir_N4_1,6.8019277016238195,13.245164710197203,17.85139702488891,34.52089379189685,88.63022890957767,93.5046346813114,97.6454440349976,99.45823036074152
Aciclovir_N4_2,6.7118861487851165,12.06789491377396,18.30444740740991,34.30093645847421,91.50704085849338,95.7819141499391,97.82866566895386,99.45836196078584
Aciclovir_N5_1,8.065761791164848,13.12969923969392,16.97636629830822,28.07103024066486,55.18917722823683,92.32208134809112,97.49737668014303,98.23786123813473
Aciclovir_N5_2,9.159420749130382,12.948509026777936,15.770549900065015,26.42000395772837,51.09313391640578,84.30864148626551,98.62872212204664,99.21573247493352
Aciclovir_N6_1,9.492907240407757,14.184919150169192,19.30310683313882,34.309192735463135,71.68581712916595,91.03919536417746,91.74059786190516,92.60096338831458
Aciclovir_N6_2,8.14935879902983,13.507916636873274,19.15842404844306,33.83863997370307,65.20145927475428,90.97539979608923,91.87587897993932,92.68729632306736
Aciclovir_N7_1,10.18685562354822,16.899316366125486,22.374631017534096,40.83025994727364,74.9434464598962,94.84920922801156,97.1396386476208,97.67133442250888
