Primary ID,ST-Hardness (g),ST-Rigidity at 2% deformation (g),ST-Rigidity at 4% deformation (g),ST-Peak stress (N/mp),3PBT-Hardness (g),3PBT-Deformation at hardness (mm),3PBT-Total work (mJ),3PBT-Maximum force (N),3PBT-Peak stress (N/mp),3PBT-Flexural stress (g/mmp) (Samaro 2021 Prasad 2019),3PBT-Flexural strain (%),3PBT-Breaking distance (mm),3PBT-Stiffness (N/mm) (Hu 2022)
BCS3_S142,6615.0,1260.0,4585.0,24115610.0,962.5,2.84,12.57,9.4325,3323557.0,87.59238640384152,5.18016,2.84,3.3213028169014085
BCS3_S143,6625.0,620.0,4075.0,23625112.0,905.5,1.12,6.14,8.873899999999999,3094049.0,81.11754085423713,2.0536320000000003,1.12,7.923124999999998
BCS3_S144,3450.0,380.0,1680.0,12170123.0,1375.5,1.56,11.94,13.479899999999999,4700016.0,123.22162059083729,2.860416,1.56,8.640961538461537
BCS3_S145,7385.0,705.0,4675.0,28512642.0,730.0,1.17,5.11,7.154,2721998.0,74.35257508238445,2.055456,1.17,6.114529914529915
BCS3_S146,8690.0,1330.0,6340.0,32037514.0,698.0,1.23,4.77,6.8404,2950449.0,85.62419573039236,2.030976,1.23,5.56130081300813
BCS3_S147,4735.0,430.0,2565.0,18426384.0,739.0,1.06,4.46,7.2421999999999995,2853195.0,79.09578604317929,1.83168,1.06,6.832264150943395
BCS3_S148,3130.0,175.0,1355.0,12084573.0,756.0,1.04,4.24,7.408799999999999,2787153.0,75.75211271587182,1.837056,1.04,7.123846153846153
BCS3_S149,5460.0,425.0,2740.0,19260544.0,678.0,0.99,3.57,6.6444,2617681.0,72.56690519252444,1.71072,0.99,6.711515151515152
BCS3_S150,7950.0,550.0,4800.0,29985718.0,751.5,1.02,4.29,7.3647,2739664.0,74.08669527562391,1.81152,1.02,7.220294117647058
BCS3_S151,1500.0,135.0,740.0,5530066.0,482.0,0.69,1.98,4.7236,1664368.0,51.588861803535075,1.1923199999999998,0.69,6.845797101449277
BCS3_S152,2830.0,420.0,1975.0,10674161.0,592.0,2.24,3.5,5.8016,2001909.0,52.2088880779665,4.128768000000001,2.24,2.5899999999999994
BCS3_S153,5770.0,910.0,4125.0,19116340.0,591.5,0.73,2.7,5.7966999999999995,1959673.0,50.568023885547476,1.359552,0.73,7.940684931506849
BCS3_S161,7350.0,1015.0,4740.0,33369852.0,872.0,1.58,6.56,8.5456,3717999.0,108.85655275028924,2.593728,1.58,5.408607594936709
BCS3_S162,5395.0,400.0,3025.0,19667984.0,674.0,1.9,4.28,6.6052,2720034.0,77.16996732737702,3.21024,1.9,3.4764210526315793
BCS3_S163,6380.0,465.0,3485.0,23258896.0,740.5,1.27,5.06,7.2569,2951961.0,83.3550059909666,2.157984,1.27,5.714094488188977
BCS4_S1,10350.0,2355.0,7395.0,38592712.0,1868.5,4.83,31.83,18.3113,6067459.0,154.89996206463866,0.0,4.83,3.791159420289855
BCS4_S2,12085.0,5195.0,9550.0,41293856.0,1040.5,2.92,16.86,10.1969,5001872.0,155.62912644346758,0.0,2.92,3.4920890410958902
BCS4_S3,11490.0,2650.0,8480.0,49638064.0,1589.0,3.67,31.05,15.572199999999999,5109104.0,129.73335278886523,0.0,3.67,4.243106267029972
BCS4_S4,8195.0,1470.0,5465.0,43207256.0,1377.5,1.64,12.11,13.4995,4966419.0,133.62237854758678,0.0,1.64,8.231402439024391
BCS4_S5,6770.0,1685.0,4710.0,26345644.0,1119.0,2.82,17.41,10.966199999999999,4669635.0,134.90194161502473,0.0,2.82,3.888723404255319
BCS4_S6,8530.0,2715.0,8050.0,30418444.0,1257.0,1.35,9.31,12.3186,4295108.0,112.60601750831152,2.47536,1.35,9.124888888888888
BCS4_S7,7170.0,1365.0,4905.0,27359408.0,1016.5,1.31,7.77,9.9617,3076685.0,75.84827226552525,2.552928,1.31,7.604351145038168
BCS4_S8,11595.0,2580.0,8785.0,41348400.0,1085.0,1.22,6.94,10.633,4189061.0,116.12845447476256,2.1081600000000003,1.22,8.715573770491803
BCS4_S9,8620.0,2060.0,5900.0,36436776.0,905.5,1.62,7.73,8.873899999999999,4111075.0,123.56361733249317,2.5816320000000004,1.62,5.477716049382715
BCS4_S10,8765.0,1285.0,5345.0,33840664.0,754.5,1.25,5.86,7.3941,3259523.0,95.8603263666783,2.04,1.25,5.91528
BCS4_S11,10565.0,2510.0,7265.0,38515708.0,1400.5,1.69,12.05,13.7249,4373953.0,109.27468152866241,3.2448,1.69,8.121242603550296
BCS4_S12,10895.0,3235.0,8240.0,35378624.0,1294.0,1.42,10.53,12.6812,3965564.0,97.99560337500036,2.753664,1.42,8.93042253521127
BCS4_S13,11605.0,2890.0,8085.0,39653720.0,1093.5,2.29,12.99,10.7163,4359176.0,123.09074821218366,3.891168,2.29,4.679606986899564
BCS4_S14,12790.0,3070.0,9335.0,43702808.0,910.0,3.27,8.84,8.918,3627663.0,102.43491620766996,5.556384,3.27,2.727217125382263
BCS4_S15,8775.0,1945.0,6000.0,27405528.0,1002.5,1.85,10.05,9.8245,3574970.0,95.69428127712062,3.3211200000000005,1.85,5.310540540540541
